user_idx,size,created_date
00fb49b05b05f5e84c18f0e06c2d9bf960edc7206fd2a5f85e1eb0ae9b10cbde,70B,2020-09-19T10:25:15.000+09:00
01ccbb33f684449822c36b49163359706be5b02d4631ac30fdb49991797feb13,80A,2019-08-18T20:31:37.000+09:00
01ef695a705288a1b6404c65ef310538eb2f5526475cf08101111678d4c0d90b,75A,2020-05-06T13:39:47.000+09:00
0263933c769639539968f6ca5954bbc2b4322bd5b503537219fc0a03ef5dcf7d,75C,2020-01-01T22:00:36.000+09:00
02ac84a4daaa0308531aa44a4a088ea9c6223a7fe764a41b7203256ab7b61d1e,75C,2020-10-20T05:05:05.000+09:00
0462283edaa4729797e92ff3718921aeed206c45870a30565c0230dfced73587,85B,2020-10-20T05:05:07.000+09:00
046e51a21f2673c9e08e48017224214289d498ba730a411a7b3ce138f66e6151,75C,2020-06-18T22:51:03.000+09:00
049332e0656aba659b46fd13015d4d1009ec55404f25f088eac583fa576601cd,75C,2020-10-20T05:05:05.000+09:00
0538a491d5e47805298cfbbbc49785c0ea6e5cdfd17e56f6387c28b109ec4f80,70C,2019-12-08T12:35:14.000+09:00
05861e4d767cedd8717155b826572bc726e664f042fac02fba40d462db2836f7,65A,2020-10-24T10:02:43.000+09:00
05a3c37a8c4ad3c01d986d175a5bf8fdbec4d54f022967d9561166addea5262b,65B,2020-11-05T15:10:35.000+09:00
06123a5daa2df1c451b690c86d7695a2e7bc01bdc43c52d45a0240b84ae751bf,75B,2020-05-16T12:01:18.000+09:00
06269460392efdabc483249364c8b80835c3c61eb4c78d3b88ae5ed7360f159a,85B,2020-11-06T22:37:26.000+09:00
066ef51ce8424c9a2d2d82163a4ea3f9c154aaa9e99fd8e90b0d7e98027864e2,80A,2020-04-29T17:03:28.000+09:00
06dde7e4339a74a7d8dfab304db7d979be481d7091d48c0421dfe576beba7658,65B,2020-10-20T13:35:10.000+09:00
07b06ecb67c967b0794de92d6effc494191cd9f81000ea80f06962f6e2bf1c97,85B,2020-01-22T15:12:11.000+09:00
07d60cddc18ecdddfcaa42383f079799df27ebe850572a9d21c62cfc3b8201e1,65A,2019-11-01T20:27:42.000+09:00
086538c99eb5a648994a34505781aa1c3d6ea963c17d952184df3f731ba6c970,75C,2020-10-21T18:00:26.000+09:00
08a6790cf548950888e12e952be1385fc504d68301d7bb6e3655a235ba11450d,85A,2020-10-20T05:05:06.000+09:00
08d871eda800abbe4e1f67d7ff34405dfe83fd0b1ac2e4f05a1cbdc6f05d9e0b,85B,2020-11-06T19:03:55.000+09:00
09be3531ac9c30030431eddcccb05673457029aa08ddce0bf09b5f5ad62e9372,75B,2020-04-03T12:52:37.000+09:00
0a135c7179a8663d116a146c2f3a4039ba5d99b1f30b557beea59fb8ece83c3c,75B,2019-11-24T21:42:07.000+09:00
0a15df312cd9e29297cf2e7cc18ce76884520cecd3409ca7b383516d1942bf8c,70C,2020-10-21T20:51:36.000+09:00
0a17f097093179f5be89b52b629609b026eb029d6e3a62fc99fef8305801acbe,85B,2020-06-01T21:55:37.000+09:00
0a8b582c9102776e564dea309dcea25cde3dceadd39df0706f431a7cf814f231,80C,2020-10-21T15:47:03.000+09:00
0b4579c864944422e0e88c61f56ae30b3c9d9ede0a7b375f4f71186b6e1cb204,80A,2020-06-02T14:28:06.000+09:00
0d4dc53d1300c6d9022514493635e5d8eaea7fb9b57453f4e0fff8f5a489e03e,75C,2020-10-21T05:11:29.000+09:00
0d7286c5234526aa2c169df16a926bf3d7ff7ab9a0d1790e332ef1232b7137ba,75B,2020-11-08T21:09:54.000+09:00
0da1b8ca2f55aa472d54ec85fa18bfb0b5323f8b768174e66e033fbdc6465aef,75B,2020-10-20T05:05:04.000+09:00
0e06f0bd3e86c77615c04e326257b07425cbcf23d9b8aba9026896d5eacd8506,80B,2020-10-20T05:05:06.000+09:00
0ec542bc1173591f4e984c5edd055cdeec1b40a55200f7f6e28b7e6c096061d1,85B,2020-10-20T05:05:06.000+09:00
0ec94ec12c40ede25c692f37b0e4835a28c2e042b183986d358f7b58a1199537,70B,2020-10-20T05:05:07.000+09:00
0ee0e919552ab2cd571a7896e8f5d061ba39d942a4d2a1f9b7947df961f9d203,80B,2020-09-29T12:11:05.000+09:00
0f615ab26d09a4ce381234231e5e3d6bd9c56a709359e35e694815c66bdbbcd2,75C,2020-03-14T20:59:07.000+09:00
0f86a0ca605dfe2747d50703615874889575c4c85bc889205aaa630c7e75f5bf,70A,2020-06-12T14:57:47.000+09:00
0fb750a8ca4193b232471aca06674c08e0f84795c5252bce2f8541b188b5feb2,75B,2020-04-28T19:54:17.000+09:00
0fcbcca89548d7fb993a3ea0e109ae0e83a1305d2b70676ee19a2740b5fc0fb6,65A,2019-08-21T06:14:18.000+09:00
0fd7906c641964739f9d6398697dd7b8ceba8d57f4d159f161cca841adbd1248,75C,2020-10-20T05:05:04.000+09:00
105919e3af1524b0116b110fa5d0e95156fdd557a3bd4b28758a59bdb13a54ae,80A,2020-10-20T05:05:05.000+09:00
1087ac049753d9690f384b96b57061f40df5a342b8d15f1d61e2242b9ab18c13,65C,2020-10-20T05:05:06.000+09:00
10bb08f499333e6c284a92041f32eb471acfbbb90fad2cfd273aa2d95e302a56,75A,2020-11-23T13:17:23.000+09:00
1192a56dd753b83da558a110ee816b28206c58ce0aec7da4cf87d12bd6b810eb,70A,2020-10-10T00:41:16.000+09:00
11fe9a4c43d4c2c8190e30acf38e9af4a73cf36e94a0de30b5c317a3288e0dce,80A,2020-01-04T16:24:00.000+09:00
13223b4f8697e7b4d06bdbac7afe94cdf8521c16132b47e31294dd822391dfb9,85A,2020-04-17T16:49:40.000+09:00
13d52fbbd2a307ff3b00792bc370c001204087f988e05f990dd89ddbb6a4a21e,70C,2020-10-17T22:03:09.000+09:00
14152c9a2bf399d6eabdff44629bc1468210f689767a23400bb97f23e0e75c94,80B,2020-09-08T22:25:55.000+09:00
146a3aaed1836ab3ea5fe29c9c3885c0b4bc4696e57a05cc46407fb2b7c77110,65B,2020-03-06T14:11:29.000+09:00
14a37c282eff325e34da0ea5300350621e2ef191d715d8575571c97111edf228,75A,2020-11-04T19:14:12.000+09:00
150f40b2ad31e4a38086701bf2afb66bf1ede3735f19de7d9b2f4dbcd24f72c4,75B,2020-10-23T20:32:18.000+09:00
15419ee31440778035ec075f9d23e768858263f78b6d383de467f9617054e2ac,85B,2020-04-08T23:24:38.000+09:00
1592074f64b00f183356242dbbbb7962f9c3126b0321cb70af27bd80f61316b6,80A,2020-05-03T01:36:28.000+09:00
15a81607ca583571b51314d30dd3ad5c90fdc710a2e25c456283d1eaaf00d283,75A,2019-12-01T22:34:15.000+09:00
1620ee85f085bb573c1ec32b14b82e105a2174f0941c3c89526643169becfce2,75B,2019-11-09T17:33:42.000+09:00
17a67c97813799e0c931372488e098597348a8758f12aadc3cefa3da34253447,75C,2020-10-21T05:11:29.000+09:00
17a9a9eacfaa6b732ec930957079e242a2a3e9f8b324b382c4f91831fd77a0a2,75D,2019-11-02T02:13:35.000+09:00
17dbe27a537e89d2828455fd5e1a00bf7656da275f912fcd1a79c66fdf2ab8bd,70A,2020-11-24T22:15:22.000+09:00
18055492698f74623ebbcbc86a553af4b45b887ca2f4abf5b44dce6d8cc32a6c,75A,2019-12-13T12:51:52.000+09:00
18a0a17d7ec243eda553f6109bfe70cc97fb2272c69e97e6042cd3afd8803b4f,65C,2020-11-06T09:20:56.000+09:00
19387ea0b7c57b8619f462954cdf314ebb0b79eed66d1ffecfbdf183c227060f,70A,2020-09-21T15:38:32.000+09:00
1a230d74222458ef80f69dc172077bb8c43f3bd436c730e955dd6f969c3153e6,70A,2019-10-09T19:25:13.000+09:00
1b03b7c86effffcbd7be4ef0768e6909337d2ab13245d512fb980617131182a0,85B,2019-12-04T22:55:01.000+09:00
1b05f2339b89692a6e3291690df9491d051c08a32f654c1b7e0b4b63fe907dc6,80A,2019-11-16T00:20:22.000+09:00
1b3fcc26e39f329212bb1951971b5bbe7b0136c276bfd1ccef6baea31ff01c76,75A,2020-10-20T05:05:05.000+09:00
1b7eec0c57cb7132bd3a4d7100db3f636e27798ed523a7f1698a3667ac14931a,75C,2020-10-20T05:05:05.000+09:00
1ba171503c6d62a6bddac26733c7edec368c9e7b118617d12e9709336d0e1a37,80A,2020-04-25T15:21:29.000+09:00
1c0b5fefc7982253a9a1de6a65d067b4384f024a89e190ff22d03f32041d300c,80A,2020-03-11T23:04:20.000+09:00
1c425fe3a3383c4a0ba3068c2cfee1efd10d4018e32ca580beb5d7035b4b8699,75A,2020-10-21T17:01:13.000+09:00
1c6fc4bf126347f138509b77a5c88c52fac2fa1de2f3669ae1ad6c03cd07cabb,80A,2019-09-05T22:35:46.000+09:00
